Training Settings: epochs=300, lr=0.0001, device=cuda
--------------------------------------------------
Epoch [86/300] | Dec Loss: 0.035036 | Enh Loss: 0.110071
Epoch [87/300] | Dec Loss: 0.034964 | Enh Loss: 0.109856
Epoch [88/300] | Dec Loss: 0.034778 | Enh Loss: 0.110206
Epoch [89/300] | Dec Loss: 0.035052 | Enh Loss: 0.110049
Epoch [90/300] | Dec Loss: 0.035045 | Enh Loss: 0.109671
Epoch [91/300] | Dec Loss: 0.034735 | Enh Loss: 0.110086
Epoch [92/300] | Dec Loss: 0.035077 | Enh Loss: 0.109847
Epoch [93/300] | Dec Loss: 0.034515 | Enh Loss: 0.109834
Epoch [94/300] | Dec Loss: 0.034706 | Enh Loss: 0.109872
Epoch [95/300] | Dec Loss: 0.034652 | Enh Loss: 0.109704
Epoch [96/300] | Dec Loss: 0.034587 | Enh Loss: 0.109671
Epoch [97/300] | Dec Loss: 0.034519 | Enh Loss: 0.109512
Epoch [98/300] | Dec Loss: 0.034653 | Enh Loss: 0.109763
Epoch [99/300] | Dec Loss: 0.034579 | Enh Loss: 0.109690
Epoch [100/300] | Dec Loss: 0.034403 | Enh Loss: 0.109626
Epoch [101/300] | Dec Loss: 0.034439 | Enh Loss: 0.109496
Epoch [102/300] | Dec Loss: 0.034374 | Enh Loss: 0.109626
Epoch [103/300] | Dec Loss: 0.034692 | Enh Loss: 0.109882
Epoch [104/300] | Dec Loss: 0.034606 | Enh Loss: 0.109237
Epoch [105/300] | Dec Loss: 0.034306 | Enh Loss: 0.109703
Epoch [106/300] | Dec Loss: 0.034390 | Enh Loss: 0.109713
Epoch [107/300] | Dec Loss: 0.034421 | Enh Loss: 0.109496
Epoch [108/300] | Dec Loss: 0.034267 | Enh Loss: 0.109509
Epoch [109/300] | Dec Loss: 0.034112 | Enh Loss: 0.109561
Epoch [110/300] | Dec Loss: 0.034692 | Enh Loss: 0.109401
Epoch [111/300] | Dec Loss: 0.034070 | Enh Loss: 0.109356
Epoch [112/300] | Dec Loss: 0.034122 | Enh Loss: 0.109385
Epoch [113/300] | Dec Loss: 0.034262 | Enh Loss: 0.109262
Epoch [114/300] | Dec Loss: 0.034053 | Enh Loss: 0.109187
Epoch [115/300] | Dec Loss: 0.034017 | Enh Loss: 0.109089
Epoch [116/300] | Dec Loss: 0.034288 | Enh Loss: 0.109512
Epoch [117/300] | Dec Loss: 0.034012 | Enh Loss: 0.109173
Epoch [118/300] | Dec Loss: 0.034339 | Enh Loss: 0.109166
Epoch [119/300] | Dec Loss: 0.034160 | Enh Loss: 0.109817
Epoch [120/300] | Dec Loss: 0.034064 | Enh Loss: 0.109252
Epoch [121/300] | Dec Loss: 0.034004 | Enh Loss: 0.109265
Epoch [122/300] | Dec Loss: 0.033983 | Enh Loss: 0.109102
Epoch [123/300] | Dec Loss: 0.033696 | Enh Loss: 0.109198
Epoch [124/300] | Dec Loss: 0.034160 | Enh Loss: 0.109476
Epoch [125/300] | Dec Loss: 0.033792 | Enh Loss: 0.109347
Epoch [126/300] | Dec Loss: 0.033799 | Enh Loss: 0.109194
Epoch [127/300] | Dec Loss: 0.033825 | Enh Loss: 0.108925
Epoch [128/300] | Dec Loss: 0.033778 | Enh Loss: 0.109169
Epoch [129/300] | Dec Loss: 0.034063 | Enh Loss: 0.108830
Epoch [130/300] | Dec Loss: 0.033740 | Enh Loss: 0.108925
Epoch [131/300] | Dec Loss: 0.033822 | Enh Loss: 0.108866
Epoch [132/300] | Dec Loss: 0.033474 | Enh Loss: 0.109076
Epoch [133/300] | Dec Loss: 0.033626 | Enh Loss: 0.109116
Epoch [134/300] | Dec Loss: 0.033441 | Enh Loss: 0.108882
Epoch [135/300] | Dec Loss: 0.033615 | Enh Loss: 0.108920
Epoch [136/300] | Dec Loss: 0.033702 | Enh Loss: 0.108960
Epoch [137/300] | Dec Loss: 0.033649 | Enh Loss: 0.108876
Epoch [138/300] | Dec Loss: 0.033741 | Enh Loss: 0.109019
Epoch [139/300] | Dec Loss: 0.033540 | Enh Loss: 0.109028
Epoch [140/300] | Dec Loss: 0.033491 | Enh Loss: 0.108822
Epoch [141/300] | Dec Loss: 0.033684 | Enh Loss: 0.109296
Epoch [142/300] | Dec Loss: 0.033496 | Enh Loss: 0.109112
